Owner_inf,Bhk_info,Price,Locality,Area_sqft,Status,Price_Per_sqft
BUILDER,3 , 1.6 Cr,Manikonda,2810 ,Under ConstructionConstruction Status,"5,699 / sq ft"
BUILDER,2 , 1.43 Cr,Shaikpet,1495 ,Ready to moveConstruction Status,"9,565 / sq ft"
BUILDER,2 , 56.98 L,Bachupally,1295 ,Under ConstructionConstruction Status,"4,400 / sq ft"
BUILDER,2 , 43.6 L,Shamshabad,890 ,Under ConstructionConstruction Status,"4,899 / sq ft"
BUILDER,3 , 65.82 L,Tellapur,1431 ,Under ConstructionConstruction Status,"4,600 / sq ft"
BUILDER,3 , 1.65 Cr,Attapur,2540 ,Under ConstructionConstruction Status,"6,501 / sq ft"
BUILDER,4 , 6.22 Cr,Serilingampally,4147 ,Under ConstructionConstruction Status,"15,000 / sq ft"
BUILDER,3 , 1.18 Cr,Sainikpuri,2200 ,Under ConstructionConstruction Status,"5,400 / sq ft"
BUILDER,Residential Plot, 1.11 Cr,Sheriguda,3150 ,NewNew/Resale,"3,555 / sq ft"
BUILDER,3 , 95.35 L,Manikonda,1538 ,Under ConstructionConstruction Status,"6,200 / sq ft"
BUILDER,4 , 1.45 Cr,Bachupally,2300 ,Under ConstructionConstruction Status,"6,304 / sq ft"
BUILDER,2 , 56.02 L,Ghatkesar,1245 ,Under ConstructionConstruction Status,"4,500 / sq ft"
BUILDER,2 , 72.05 L,Attapur,1310 ,Under ConstructionConstruction Status,"5,500 / sq ft"
BUILDER,2 , 61.57 L,Kompally,1310 ,Under ConstructionConstruction Status,"4,700 / sq ft"
BUILDER,3 , 1.46 Cr,Shankarpalli,3120 ,Under ConstructionConstruction Status,"4,700 / sq ft"
BUILDER,3 , 63.11 L,Mallampet,1503 ,Under ConstructionConstruction Status,"4,199 / sq ft"
BUILDER,4 , 2.9 Cr,Hitech City,3498 ,Ready to moveConstruction Status,"8,290 / sq ft"
BUILDER,3 , 96.22 L,Nanakramguda,1415 ,Ready to moveConstruction Status,"6,800 / sq ft"
BUILDER,3 , 97.11 L,Manikonda,1704 ,Under ConstructionConstruction Status,"5,699 / sq ft"
BUILDER,4 , 3.04 Cr,Shaikpet,2965 ,Ready to moveConstruction Status,"10,252 / sq ft"
BUILDER,2 , 52.58 L,Bachupally,1195 ,Under ConstructionConstruction Status,"4,400 / sq ft"
BUILDER,2 , 44.33 L,Shamshabad,905 ,Under ConstructionConstruction Status,"4,899 / sq ft"
BUILDER,3 , 66.01 L,Tellapur,1435 ,Under ConstructionConstruction Status,"4,600 / sq ft"
BUILDER,3 , 1.65 Cr,Attapur,2540 ,Under ConstructionConstruction Status,"6,501 / sq ft"
BUILDER,4 , 4.89 Cr,Serilingampally,3262 ,Under ConstructionConstruction Status,"15,000 / sq ft"
BUILDER,3 , 1.18 Cr,Sainikpuri,2195 ,Under ConstructionConstruction Status,"5,400 / sq ft"
BUILDER,Residential Plot, 1.11 Cr,Sheriguda,3150 ,NewNew/Resale,"3,555 / sq ft"
BUILDER,3 , 93.31 L,Manikonda,1505 ,Under ConstructionConstruction Status,"6,200 / sq ft"
BUILDER,2 , 56.02 L,Ghatkesar,1245 ,Under ConstructionConstruction Status,"4,500 / sq ft"
BUILDER,3 , 81.67 L,Attapur,1485 ,Under ConstructionConstruction Status,"5,500 / sq ft"
BUILDER,2 , 58.51 L,Kompally,1245 ,Under ConstructionConstruction Status,"4,700 / sq ft"
BUILDER,3 , 1.41 Cr,Shankarpalli,3000 ,Under ConstructionConstruction Status,"4,700 / sq ft"
BUILDER,2 , 46.48 L,Mallampet,1107 ,Under ConstructionConstruction Status,"4,199 / sq ft"
BUILDER,4 , 2.56 Cr,Hitech City,3031 ,Ready to moveConstruction Status,"8,446 / sq ft"
